"talk_id","title","speaker_1","first occupation","second occupation","recorded_date","published_date","event","native_lang","url.x","num_speakers","num_lang","comments","duration_ted","languages","num_speaker","view_ted","view_yt","categories","duration_yt","dislike_count","like_count","average_rating"
1,"Averting the climate crisis","Al Gore","climate advocate",NA,2006-02-25,2006-06-27,"TED2006","en","https://www.ted.com/talks/al_gore_averting_the_climate_crisis/",1,43,265,977,43,1,3200520,162022,"Nonprofits & Activism",1017,184,588,4.04663228989
92,"The best stats you've ever seen","Hans Rosling","global health expert; data visionary",NA,2006-02-22,2006-06-27,"TED2006","en","https://www.ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen/",1,49,593,1190,48,1,12005869,1192098,"Science & Technology",1236,197,6908,4.88909196854
7,"Simplicity sells","David Pogue","technology columnist",NA,2006-02-24,2006-06-27,"TED2006","en","https://www.ted.com/talks/david_pogue_simplicity_sells/",1,26,124,1286,26,1,1636292,79874,"Science & Technology",1326,46,549,4.69075632095
53,"Greening the ghetto","Majora Carter","activist for environmental justice",NA,2006-02-26,2006-06-27,"TED2006","en","https://www.ted.com/talks/majora_carter_greening_the_ghetto/",1,35,200,1116,35,1,1697550,130532,"Nonprofits & Activism",1156,36,995,4.86032962799
66,"Do schools kill creativity?","Sir Ken Robinson","author","educator",2006-02-25,2006-06-27,"TED2006","en","https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity/",1,62,4553,1164,60,1,47227110,13838924,"Education",1203,1986,133506,4.9413690567
86,"Letting go of God","Julia Sweeney","actor","comedian",2006-02-24,2006-07-10,"TED2006","en","https://www.ted.com/talks/julia_sweeney_letting_go_of_god/",1,31,919,992,31,1,3769987,448541,"Comedy",1038,430,4343,4.63963985443
71,"A life of purpose","Rick Warren","pastor","author",2006-02-25,2006-07-18,"TED2006","en","https://www.ted.com/talks/rick_warren_a_life_of_purpose/",1,31,900,1262,31,1,3095993,605052,"Education",1308,1168,4498,4.1754322052
58,"My wish: Help me stop pandemics","Larry Brilliant","epidemiologist","philanthropist",2006-02-23,2006-07-25,"TED2006","en","https://www.ted.com/talks/larry_brilliant_my_wish_help_me_stop_pandemics/",1,26,71,1550,24,1,693341,35049,"Nonprofits & Activism",1596,8,180,4.82978725433
54,"My wish: A call for open-source architecture","Cameron Sinclair","co-founder","architecture for humanity",2006-02-26,2006-07-25,"TED2006","en","https://www.ted.com/talks/cameron_sinclair_my_wish_a_call_for_open_source_architecture/",1,27,79,1414,27,1,1211416,76377,"News & Politics",1454,12,437,4.89309597015
41,"One Laptop per Child","Nicholas Negroponte","tech visionary",NA,2006-02-23,2006-08-01,"TED2006","en","https://www.ted.com/talks/nicholas_negroponte_one_laptop_per_child/",1,26,99,1057,25,1,358304,40460,"Science & Technology",993,12,204,4.77777767181
46,"Improvising on piano, aged 14","Jennifer Lin","pianist","composer",2004-02-26,2006-08-08,"TED2004","en","https://www.ted.com/talks/jennifer_lin_improvising_on_piano_aged_14/",1,32,305,1445,32,1,1628912,73891,"Music",1491,21,488,4.83497047424
45,"An 11-year-old's magical violin","Sirena Huang","violinist",NA,2006-02-23,2006-08-08,"TED2006","en","https://www.ted.com/talks/sirena_huang_an_11_year_old_s_magical_violin/",1,32,325,1481,31,1,2702470,514182,"Music",1527,147,3785,4.8504576683
2,"Simple designs to save a life","Amy Smith","inventor","engineer",2006-02-24,2006-08-15,"TED2006","en","https://www.ted.com/talks/amy_smith_simple_designs_to_save_a_life/",1,27,88,906,27,1,1415724,31492,"Science & Technology",946,4,140,4.88888883591
87,"Nerdcore comedy","Ze Frank","web humorist",NA,2004-02-24,2006-08-25,"TED2004","en","https://www.ted.com/talks/ze_frank_nerdcore_comedy/",1,27,185,1136,26,1,6141440,1240216,"Entertainment",1182,325,8648,4.85512113571
16,"Why we love, why we cheat","Helen Fisher","anthropologist","expert on love",2006-02-24,2006-09-06,"TED2006","en","https://www.ted.com/talks/helen_fisher_why_we_love_why_we_cheat/",1,35,556,1407,33,1,9260764,1004314,"Science & Technology",1453,390,6109,4.75996303558
64,"Happiness in body and soul","Eve Ensler","playwright","activist",2004-02-04,2006-09-06,"TED2004","en","https://www.ted.com/talks/eve_ensler_happiness_in_body_and_soul/",1,25,117,1225,23,1,1131864,79093,"Entertainment",1272,50,481,4.62335205078
98,"Why the universe seems so strange","Richard Dawkins","evolutionary biologist",NA,2005-07-07,2006-09-12,"TEDGlobal 2005","en","https://www.ted.com/talks/richard_dawkins_why_the_universe_seems_so_strange/",1,37,507,1316,36,1,2885999,1340140,"Science & Technology",1362,541,14076,4.85195302963
47,"Chemical scum that dream of distant quasars","David Deutsch","physicist","author",2005-07-14,2006-09-12,"TEDGlobal 2005","en","https://www.ted.com/talks/david_deutsch_chemical_scum_that_dream_of_distant_quasars/",1,29,184,1140,29,1,1096862,108187,"Science & Technology",1186,31,1085,4.88888883591
20,"Choice, happiness and spaghetti sauce","Malcolm Gladwell","writer",NA,2004-02-26,2006-09-19,"TED2004","en","https://www.ted.com/talks/malcolm_gladwell_choice_happiness_and_spaghetti_sauce/",1,37,355,1050,37,1,7023562,1195574,"Science & Technology",1096,191,6633,4.88804197311
93,"The paradox of choice","Barry Schwartz","psychologist",NA,2005-07-15,2006-09-26,"TEDGlobal 2005","en","https://www.ted.com/talks/barry_schwartz_the_paradox_of_choice/",1,45,991,1177,45,1,10000702,2329033,"News & Politics",1223,1056,22314,4.81925535202
39,"A roadmap to end aging","Aubrey de Grey","crusader against aging",NA,2005-07-14,2006-10-02,"TEDGlobal 2005","en","https://www.ted.com/talks/aubrey_de_grey_a_roadmap_to_end_aging/",1,30,612,1365,29,1,3277740,592999,"Science & Technology",1411,224,3547,4.76239728928
91,"Invest in Africa's own solutions","Jacqueline Novogratz","investor and advocate for moral leadership",NA,2005-07-01,2006-10-10,"TEDGlobal 2005","en","https://www.ted.com/talks/jacqueline_novogratz_invest_in_africa_s_own_solutions/",1,27,58,773,26,1,705389,18310,"Nonprofits & Activism",818,9,87,4.625
79,"How mobile phones can fight poverty","Iqbal Quadir","founder","grameenphone",2005-07-13,2006-10-10,"TEDGlobal 2005","en","https://www.ted.com/talks/iqbal_quadir_how_mobile_phones_can_fight_poverty/",1,22,74,952,21,1,503517,27646,"Science & Technology",998,9,140,4.75838947296
3,"How to rebuild a broken state","Ashraf Ghani","president-elect of afghanistan",NA,2005-07-12,2006-10-18,"TEDGlobal 2005","en","https://www.ted.com/talks/ashraf_ghani_how_to_rebuild_a_broken_state/",1,25,67,1125,24,1,809226,70142,"News & Politics",1165,38,433,4.67728233337
75,"Why we should invest in a free press","Sasa Vucinic","nonprofit venture capitalist",NA,2005-07-14,2006-10-18,"TEDGlobal 2005","en","https://www.ted.com/talks/sasa_vucinic_why_we_should_invest_in_a_free_press/",1,22,43,1080,21,1,580891,17538,"News & Politics",1126,7,66,4.61643838882
89,"Why did I ski to the North Pole?","Ben Saunders","polar explorer",NA,2005-02-24,2006-10-25,"TED2005","en","https://www.ted.com/talks/ben_saunders_why_did_i_ski_to_the_north_pole/",1,26,57,1083,26,1,745231,43868,"Travel & Events",1129,4,212,4.92592573166
22,"Why people believe weird things","Michael Shermer","skeptic",NA,2006-02-23,2006-11-08,"TED2006","en","https://www.ted.com/talks/michael_shermer_why_people_believe_weird_things/",1,43,494,805,41,1,5364639,1300782,"Science & Technology",851,761,15590,4.81383419037
19,"How technology evolves","Kevin Kelly","digital visionary",NA,2005-02-24,2006-11-14,"TED2005","en","https://www.ted.com/talks/kevin_kelly_how_technology_evolves/",1,26,149,1200,26,1,1536873,58118,"Science & Technology",1240,24,335,4.73259067535
38,"The accelerating power of technology","Ray Kurzweil","inventor","futurist",2005-02-24,2006-11-14,"TED2005","en","https://www.ted.com/talks/ray_kurzweil_the_accelerating_power_of_technology/",1,23,233,1376,22,1,2434344,254827,"Science & Technology",1422,70,1495,4.82108640671
26,"If I controlled the Internet","Rives","performance poet","multimedia artist",2006-11-30,2006-12-14,"TEDSalon 2006","en","https://www.ted.com/talks/rives_if_i_controlled_the_internet/",1,34,95,247,34,1,1813665,316399,"Entertainment",257,128,2635,4.8146944046
70,"8 secrets of success","Richard St. John","marketer","success analyst",2005-02-23,2006-12-14,"TED2005","en","https://www.ted.com/talks/richard_st_john_8_secrets_of_success/",1,72,578,210,66,1,10841210,1499806,"Howto & Style",226,200,10893,4.92788267136
62,"Global priorities bigger than climate change","Bjorn Lomborg","global prioritizer",NA,2005-02-02,2007-01-02,"TED2005","en","https://www.ted.com/talks/bjorn_lomborg_global_priorities_bigger_than_climate_change/",1,33,499,1001,32,1,1391142,215647,"Nonprofits & Activism",1047,276,1292,4.29591846466
34,"Photos of endangered cultures","Phil Borges","photographer",NA,2006-02-23,2007-01-09,"TED2006","en","https://www.ted.com/talks/phil_borges_photos_of_endangered_cultures/",1,29,59,1115,29,1,882034,19436,"Nonprofits & Activism",1160,16,113,4.50387573242
42,"Is this our final century?","Martin Rees","astrophysicist",NA,2005-07-14,2007-01-17,"TEDGlobal 2005","en","https://www.ted.com/talks/martin_rees_is_this_our_final_century/",1,29,203,1046,29,1,2121177,325946,"Science & Technology",1092,102,2485,4.84228849411
68,"Progress is not a zero-sum game","Robert Wright","journalist","philosopher",2006-02-02,2007-01-17,"TED2006","en","https://www.ted.com/talks/robert_wright_progress_is_not_a_zero_sum_game/",1,23,130,1151,23,1,1090180,47329,"Nonprofits & Activism",1197,28,530,4.79928302765
63,"The era of open innovation","Charles Leadbeater","innovation consultant",NA,2005-07-14,2007-01-31,"TEDGlobal 2005","en","https://www.ted.com/talks/charles_leadbeater_the_era_of_open_innovation/",1,25,91,1141,24,1,1409327,90640,"Science & Technology",1181,11,430,4.90022659302
60,"Four American characters","Anna Deavere Smith","actor","playwright",2005-02-25,2007-02-09,"TED2005","en","https://www.ted.com/talks/anna_deavere_smith_four_american_characters/",1,19,111,1385,19,1,978825,118552,"Entertainment",1431,21,554,4.85391283035
85,"My wish: Rebuilding Rwanda","Bill Clinton","activist",NA,2007-03-08,2007-04-03,"TED2007","en","https://www.ted.com/talks/bill_clinton_my_wish_rebuilding_rwanda/",1,26,97,1447,26,1,849859,88030,"Nonprofits & Activism",1553,40,377,4.61630678177
5,"Great cars are great art","Chris Bangle","car designer",NA,2002-02-02,2007-04-05,"TED2002","en","https://www.ted.com/talks/chris_bangle_great_cars_are_great_art/",1,25,78,1204,23,1,867495,105331,"Autos & Vehicles",1316,45,565,4.70491790771
35,"How we discovered DNA","James Watson","biologist","nobel laureate",2005-02-02,2007-04-05,"TED2005","en","https://www.ted.com/talks/james_watson_how_we_discovered_dna/",1,28,114,1211,28,1,1520908,209783,"Science & Technology",1255,83,1015,4.69763183594
43,"Design is in the details","Paul Bennett","designer; creative director","ideo",2005-07-14,2007-04-05,"TEDGlobal 2005","en","https://www.ted.com/talks/paul_bennett_design_is_in_the_details/",1,24,27,850,24,1,761930,46237,"Science & Technology",965,7,197,4.86274528503
50,"Happiness by design","Stefan Sagmeister","graphic designer",NA,2004-02-02,2007-04-05,"TED2004","en","https://www.ted.com/talks/stefan_sagmeister_happiness_by_design/",1,27,86,930,26,1,1762302,106077,"People & Blogs",1047,12,519,4.90960454941
80,"The life code that will reshape the future","Juan Enriquez","author","academic",2003-02-02,2007-04-05,"TED2003","en","https://www.ted.com/talks/juan_enriquez_the_life_code_that_will_reshape_the_future/",1,20,49,1340,20,1,690928,77622,"Science & Technology",1457,15,511,4.88593149185
40,"The story of life in photographs","Frans Lanting","nature photographer",NA,2005-02-02,2007-04-05,"TED2005","en","https://www.ted.com/talks/frans_lanting_the_story_of_life_in_photographs/",1,30,143,977,30,1,1697185,48010,"Science & Technology",1094,26,244,4.6148147583
81,"Singing ""What I Want""","Nora York","singer","performance artist",2006-12-14,2007-04-05,"TEDSalon 2006","en","https://www.ted.com/talks/nora_york_singing_what_i_want/",1,29,40,276,28,1,395769,7082,"Music",270,13,64,4.32467556
76,"The gentle genius of bonobos","Susan Savage-Rumbaugh","primate authority",NA,2004-02-02,2007-04-05,"TED2004","en","https://www.ted.com/talks/susan_savage_rumbaugh_the_gentle_genius_of_bonobos/",1,29,335,1045,28,1,2197377,223198,"Science & Technology",1166,45,1386,4.87421369553
74,"The route to a sustainable future","Alex Steffen","planetary futurist",NA,2005-07-07,2007-04-05,"TEDGlobal 2005","en","https://www.ted.com/talks/alex_steffen_the_route_to_a_sustainable_future/",1,32,107,1054,32,1,1392010,33702,"Science & Technology",1094,14,157,4.67251443863
32,"Art with wire, sugar, chocolate and string","Vik Muniz","artist",NA,2003-02-27,2007-04-05,"TED2003","en","https://www.ted.com/talks/vik_muniz_art_with_wire_sugar_chocolate_and_string/",1,23,84,891,23,1,1149090,51321,"People & Blogs",1008,9,199,4.82692289352
28,"How to get your ideas to spread","Seth Godin","marketer and author",NA,2003-02-27,2007-04-05,"TED2003","en","https://www.ted.com/talks/seth_godin_how_to_get_your_ideas_to_spread/",1,32,220,1021,31,1,5570544,1250837,"Science & Technology",1138,201,8814,4.91081523895
31,"How architecture can connect us","Thom Mayne","architect",NA,2005-02-25,2007-04-05,"TED2005","en","https://www.ted.com/talks/thom_mayne_how_architecture_can_connect_us/",1,16,50,1240,16,1,660909,67234,"Science & Technology",1357,23,182,4.55121946335
11,"What separates us from chimpanzees?","Jane Goodall","primatologist","environmentalist",2003-03-01,2007-04-05,"TED2003","en","https://www.ted.com/talks/jane_goodall_what_separates_us_from_chimpanzees/",1,31,161,1645,31,1,1663001,202914,"Science & Technology",1761,54,2184,4.90348529816
101,"Casting a spell on the cello","Caroline Lavelle","cellist; singer-songwriter",NA,2005-02-02,2007-04-06,"TED2005","en","https://www.ted.com/talks/caroline_lavelle_casting_a_spell_on_the_cello/",1,27,34,459,25,1,398713,45651,"Music",576,14,216,4.75652170181
102,"The illusion of consciousness","Dan Dennett","philosopher","cognitive scientist",2003-02-27,2007-04-06,"TED2003","en","https://www.ted.com/talks/dan_dennett_the_illusion_of_consciousness/",1,31,501,1308,31,1,2676717,511413,"People & Blogs",1425,521,3972,4.53616714478
103,"How to truly listen","Evelyn Glennie","musician",NA,2003-02-02,2007-04-06,"TED2003","en","https://www.ted.com/talks/evelyn_glennie_how_to_truly_listen/",1,32,296,1929,32,1,4165572,1366767,"Music",2046,231,10615,4.91480731964
104,"Cradle to cradle design","William McDonough","architect",NA,2005-02-02,2007-04-06,"TED2005","en","https://www.ted.com/talks/william_mcdonough_cradle_to_cradle_design/",1,27,231,1205,25,1,1426390,233609,"Science & Technology",1317,31,1062,4.88655090332
108,"A mockingbird remix of TED2006","Rives","performance poet","multimedia artist",2006-02-02,2007-04-09,"TED2006","en","https://www.ted.com/talks/rives_a_mockingbird_remix_of_ted2006/",1,26,58,251,25,1,643078,177798,"Entertainment",368,35,1260,4.89189195633
109,"""What You've Got""","Eddi Reader","singer/songwriter","electronic music pioneer",2003-02-02,2007-04-14,"TED2003","en","https://www.ted.com/talks/eddi_reader_what_you_ve_got/",2,25,50,312,25,2,428351,37846,"Music",431,9,183,4.8125
110,"""Kiteflyer's Hill""","Eddi Reader","singer/songwriter","electronic music pioneer",2003-02-02,2007-04-14,"TED2003","en","https://www.ted.com/talks/eddi_reader_kiteflyer_s_hill/",2,28,75,378,28,2,513672,19683,"Music",378,52,179,4.09956693649
113,"Militant atheism","Richard Dawkins","evolutionary biologist",NA,2002-02-02,2007-04-16,"TED2002","en","https://www.ted.com/talks/richard_dawkins_militant_atheism/",1,42,6404,1750,42,1,4374792,1419744,"News & Politics",1868,1500,23059,4.75569057465
115,"""La Vie en Rose""","Rachelle Garniez","musician","electronic music pioneer",2004-02-02,2007-04-16,"TED2004","en","https://www.ted.com/talks/rachelle_garniez_la_vie_en_rose/",2,34,39,201,33,2,443180,9969,"Music",201,8,130,4.76811599731
72,"Technology's long tail","Chris Anderson","drone maker",NA,2004-02-02,2007-04-27,"TED2004","en","https://www.ted.com/talks/chris_anderson_technology_s_long_tail/",1,24,42,858,23,1,904520,24313,"Science & Technology",975,11,97,4.59259271622
118,"The genesis of Google","Sergey Brin","computer scientist","entrepreneur and philanthropist",2004-02-02,2007-05-03,"TED2004","en","https://www.ted.com/talks/sergey_brin_larry_page_the_genesis_of_google/",2,31,56,1233,31,2,1451846,228119,"Science & Technology",1350,59,822,4.73212242126
119,"""Black Men Ski""","Stew","singer/songwriter",NA,2006-03-03,2007-05-07,"TED2006","en","https://www.ted.com/talks/stew_black_men_ski/",1,23,72,277,22,1,577502,24683,"Music",394,8,155,4.80368089676
122,"Human-centered design","David Kelley","designer","educator",2002-02-02,2007-05-15,"TED2002","en","https://www.ted.com/talks/david_kelley_human_centered_design/",1,19,32,1020,19,1,779873,88615,"People & Blogs",1138,20,251,4.70479726791
125,"How brain science will change computing","Jeff Hawkins","computer designer","brain researcher",2003-02-02,2007-05-21,"TED2003","en","https://www.ted.com/talks/jeff_hawkins_how_brain_science_will_change_computing/",1,29,230,1211,29,1,1371482,183608,"Science & Technology",1330,44,1718,4.90011358261
126,"Swim with the giant sunfish","Tierney Thys","marine biologist",NA,2003-02-02,2007-05-21,"TED2003","en","https://www.ted.com/talks/tierney_thys_swim_with_the_giant_sunfish/",1,22,87,1001,22,1,870412,90416,"Pets & Animals",1119,29,318,4.66570615768
128,"Salvation (and profit) in greentech","John Doerr","venture capitalist",NA,2007-03-03,2007-05-27,"TED2007","en","https://www.ted.com/talks/john_doerr_salvation_and_profit_in_greentech/",1,20,295,1072,20,1,805111,70634,"Science & Technology",1183,34,296,4.58787870407
127,"Want to help Africa? Do business here","Ngozi Okonjo-Iweala","economist",NA,2007-03-03,2007-05-30,"TED2007","en","https://www.ted.com/talks/ngozi_okonjo_iweala_want_to_help_africa_do_business_here/",1,32,127,1213,32,1,1044185,60429,"Nonprofits & Activism",1324,17,400,4.83693027496
131,"Rethink the desktop with BumpTop","Anand Agarawala","technologist","digital product designer",2007-03-03,2007-06-05,"TED2007","en","https://www.ted.com/talks/anand_agarawala_rethink_the_desktop_with_bumptop/",1,31,124,279,31,1,1479503,176120,"Science & Technology",397,21,347,4.77173900604
8,"A memorial at Ground Zero","David Rockwell","architect","experience designer",2002-02-02,2007-06-12,"TED2002","en","https://www.ted.com/talks/david_rockwell_a_memorial_at_ground_zero/",1,18,14,1477,18,1,404402,8511,"Science & Technology",1594,6,26,4.25
140,"New insights on poverty","Hans Rosling","global health expert; data visionary",NA,2007-03-03,2007-06-25,"TED2007","en","https://www.ted.com/talks/hans_rosling_new_insights_on_poverty/",1,35,261,1137,35,1,3243784,343441,"Science & Technology",1255,39,1739,4.91226100922
116,"Dangerous memes","Dan Dennett","philosopher","cognitive scientist",2002-02-02,2007-07-02,"TED2002","en","https://www.ted.com/talks/dan_dennett_dangerous_memes/",1,32,392,926,32,1,1596067,365746,"Education",1044,188,3772,4.81010103226
142,"The potential of regenerative medicine","Alan Russell","medical futurist",NA,2006-02-02,2007-07-04,"TED2006","en","https://www.ted.com/talks/alan_russell_the_potential_of_regenerative_medicine/",1,33,150,1165,33,1,1427723,65882,"Autos & Vehicles",1283,7,385,4.92857122421
144,"The Web's secret stories","Jonathan Harris","artist","storyteller",2007-03-03,2007-07-08,"TED2007","en","https://www.ted.com/talks/jonathan_harris_the_web_s_secret_stories/",1,24,145,1030,23,1,1049727,78740,"People & Blogs",1148,21,298,4.7366771698
148,"The  4 a.m. mystery","Rives","performance poet","multimedia artist",2007-03-03,2007-07-17,"TED2007","en","https://www.ted.com/talks/rives_the_4_a_m_mystery/",1,34,276,552,34,1,3387765,493377,"Entertainment",663,417,3771,4.60171937943
146,"Spore, birth of a game","Will Wright","game designer",NA,2007-03-03,2007-07-17,"TED2007","en","https://www.ted.com/talks/will_wright_spore_birth_of_a_game/",1,19,126,997,19,1,1107307,43554,"Gaming",1114,12,431,4.8916478157
147,"Visualizing the wonder of a living cell","David Bolinsky","medical animator",NA,2007-03-03,2007-07-22,"TED2007","en","https://www.ted.com/talks/david_bolinsky_visualizing_the_wonder_of_a_living_cell/",1,28,231,585,27,1,1788182,177742,"Science & Technology",703,18,684,4.89743566513
149,"How to get (a new) hip","Allison Hunt","marketing expert",NA,2007-03-03,2007-07-24,"TED2007","en","https://www.ted.com/talks/allison_hunt_how_to_get_a_new_hip/",1,39,80,288,39,1,558993,14486,"News & Politics",406,10,69,4.4936709404
151,"Africa's cheetahs versus hippos","George Ayittey","economist",NA,2007-06-05,2007-07-30,"TEDGlobal 2007","en","https://www.ted.com/talks/george_ayittey_africa_s_cheetahs_versus_hippos/",1,22,97,1070,20,1,648234,63575,"News & Politics",1186,15,415,4.86046504974
153,"How I built a windmill","William Kamkwamba","inventor",NA,2007-06-05,2007-07-31,"TEDGlobal 2007","en","https://www.ted.com/talks/william_kamkwamba_how_i_built_a_windmill/",1,45,174,252,44,1,1543596,196658,"Science & Technology",369,44,1165,4.85442495346
155,"Telling stories from Africa","Chris Abani","novelist","poet",2007-06-06,2007-08-09,"TEDGlobal 2007","en","https://www.ted.com/talks/chris_abani_telling_stories_from_africa/",1,21,77,1056,21,1,561703,24039,"Nonprofits & Activism",1175,12,133,4.66896533966
158,"""Thula Mama""","Vusi Mahlasela","musician","activist",2007-06-07,2007-08-15,"TEDGlobal 2007","en","https://www.ted.com/talks/vusi_mahlasela_thula_mama/",1,21,60,606,21,1,531957,125746,"Music",723,13,418,4.87935018539
161,"The joy of lexicography","Erin McKean","dictionary editor",NA,2007-03-03,2007-08-30,"TED2007","en","https://www.ted.com/talks/erin_mckean_the_joy_of_lexicography/",1,32,151,950,32,1,1013063,53802,"Education",1068,21,540,4.85026741028
162,"My creations, a new form of life","Theo Jansen","artist",NA,2007-03-03,2007-09-06,"TED2007","en","https://www.ted.com/talks/theo_jansen_my_creations_a_new_form_of_life/",1,32,304,493,32,1,3982352,1253648,"Science & Technology",610,122,5018,4.90505838394
164,"What our language habits reveal","Steven Pinker","psychologist",NA,2005-07-07,2007-09-09,"TEDGlobal 2005","en","https://www.ted.com/talks/steven_pinker_what_our_language_habits_reveal/",1,32,124,1047,32,1,1914263,310190,"Science & Technology",1061,86,1942,4.83037471771
163,"The surprising decline in violence","Steven Pinker","psychologist",NA,2007-03-03,2007-09-10,"TED2007","en","https://www.ted.com/talks/steven_pinker_the_surprising_decline_in_violence/",1,33,677,1155,32,1,2063367,377781,"News & Politics",1272,224,3609,4.76624059677
172,"Designing for simplicity","John Maeda","artist",NA,2007-03-03,2007-09-20,"TED2007","en","https://www.ted.com/talks/john_maeda_designing_for_simplicity/",1,24,83,959,24,1,1215947,80463,"Science & Technology",1076,50,393,4.5485329628
167,"10 ways the world could end","Stephen Petranek","technology forecaster",NA,2002-02-02,2007-09-25,"TED2002","en","https://www.ted.com/talks/stephen_petranek_10_ways_the_world_could_end/",1,22,169,1782,22,1,1712075,101061,"Science & Technology",1794,63,581,4.60869550705
176,"A flight on solar wings","Paul MacCready","engineer",NA,2003-02-02,2007-09-26,"TED2003","en","https://www.ted.com/talks/paul_maccready_a_flight_on_solar_wings/",1,19,29,1280,20,1,736290,214682,"Science & Technology",1292,47,394,4.57369613647
178,"This is Saturn","Carolyn Porco","planetary scientist",NA,2007-03-03,2007-10-01,"TED2007","en","https://www.ted.com/talks/carolyn_porco_this_is_saturn/",1,34,225,1029,33,1,2627709,46952,"Science & Technology",1147,19,516,4.85794401169
181,"Life at 30,000 feet","Richard Branson","entrepreneur",NA,2007-03-03,2007-10-09,"TED2007","en","https://www.ted.com/talks/richard_branson_life_at_30_000_feet/",1,29,80,1791,29,1,1609555,297033,"People & Blogs",1804,39,1176,4.87160491943
165,"Building ""self-aware"" robots","Hod Lipson","roboticist",NA,2007-03-06,2007-10-11,"TED2007","en","https://www.ted.com/talks/hod_lipson_building_self_aware_robots/",1,28,242,378,28,1,1212346,112257,"Science & Technology",495,37,606,4.76982879639
182,"The illustrated woman","Maira Kalman","illustrator","author",2007-03-03,2007-10-16,"TED2007","en","https://www.ted.com/talks/maira_kalman_the_illustrated_woman/",1,22,45,1050,21,1,672254,34735,"People & Blogs",1063,24,164,4.489361763
190,"The anthropology of mobile phones","Jan Chipchase","user anthropologist",NA,2007-03-03,2007-10-18,"TED2007","en","https://www.ted.com/talks/jan_chipchase_the_anthropology_of_mobile_phones/",1,24,145,963,22,1,694378,21683,"Science & Technology",975,14,113,4.55905532837
184,"3 clues to understanding your brain","Vilayanur Ramachandran","brain expert",NA,2007-03-03,2007-10-21,"TED2007","en","https://www.ted.com/talks/vs_ramachandran_3_clues_to_understanding_your_brain/",1,35,432,1414,35,1,3930186,550039,"Science & Technology",1532,69,4825,4.9436044693
185,"A commodities exchange for Ethiopia","Eleni Gabre-Madhin","economist",NA,2007-06-06,2007-10-25,"TEDGlobal 2007","en","https://www.ted.com/talks/eleni_gabre_madhin_a_commodities_exchange_for_ethiopia/",1,21,64,1234,21,1,562457,73069,"News & Politics",1246,11,161,4.74418592453
189,"How electroshock therapy changed me","Sherwin Nuland","doctor",NA,2001-02-02,2007-10-30,"TED2001","en","https://www.ted.com/talks/sherwin_nuland_how_electroshock_therapy_changed_me/",1,26,262,1338,26,1,1522858,142072,"Science & Technology",1351,63,1274,4.81151819229
191,"The habits of happiness","Matthieu Ricard","monk","author",2004-02-02,2007-11-01,"TED2004","en","https://www.ted.com/talks/matthieu_ricard_the_habits_of_happiness/",1,40,412,1254,39,1,7271730,1891178,"Science & Technology",1255,401,10548,4.8535027504
187,"Laws that choke creativity","Lawrence Lessig","legal activist",NA,2007-03-03,2007-11-06,"TED2007","en","https://www.ted.com/talks/lawrence_lessig_laws_that_choke_creativity/",1,27,328,1136,26,1,1895259,411643,"Entertainment",1148,95,3858,4.90387058258
193,"Using biology to rethink the energy challenge","Juan Enriquez","author","academic",2007-09-09,2007-11-15,"TEDSalon 2007 Hot Science","en","https://www.ted.com/talks/juan_enriquez_using_biology_to_rethink_the_energy_challenge/",1,21,115,1090,21,1,898974,53259,"Science & Technology",1097,20,396,4.80769252777
177,"The case for optimism","Larry Brilliant","epidemiologist","philanthropist",2007-01-01,2007-11-21,"Skoll World Forum 2007","en","https://www.ted.com/talks/larry_brilliant_the_case_for_optimism/",1,22,46,1261,22,1,418234,29409,"News & Politics",1261,24,137,4.40372657776
198,"The fractals at the heart of African designs","Ron Eglash","mathematician",NA,2007-06-06,2007-11-29,"TEDGlobal 2007","en","https://www.ted.com/talks/ron_eglash_the_fractals_at_the_heart_of_african_designs/",1,22,185,1017,22,1,1527858,87410,"Science & Technology",1011,20,893,4.91237688065
197,"Design and destiny","Philippe Starck","designer",NA,2007-03-03,2007-12-04,"TED2007","en","https://www.ted.com/talks/philippe_starck_design_and_destiny/",1,29,156,1026,29,1,1783740,274711,"Howto & Style",1028,74,1236,4.77404594421
194,"Beauty, truth and ... physics?","Murray Gell-Mann","physicist",NA,2007-03-03,2007-12-06,"TED2007","en","https://www.ted.com/talks/murray_gell_mann_beauty_truth_and_physics/",1,29,160,962,29,1,1181696,196691,"Science & Technology",962,45,1476,4.88165664673
51,"Winning the oil endgame","Amory Lovins","physicist","energy guru",2005-02-02,2007-12-11,"TED2005","en","https://www.ted.com/talks/amory_lovins_winning_the_oil_endgame/",1,23,154,1184,22,1,832668,52822,"Autos & Vehicles",1179,18,368,4.81347131729
201,"The lost art of letter-writing","Lakshmi Pratury","connector",NA,2007-03-03,2007-12-20,"TED2007","en","https://www.ted.com/talks/lakshmi_pratury_the_lost_art_of_letter_writing/",1,42,71,249,40,1,533761,26718,"People & Blogs",249,12,153,4.70909070969
202,"5 dangerous things you should let your kids do","Gever Tulley","tinkerer",NA,2007-03-03,2007-12-21,"TED2007","en","https://www.ted.com/talks/gever_tulley_5_dangerous_things_you_should_let_your_kids_do/",1,41,435,558,40,1,4364865,239116,"Education",560,52,1489,4.8650226593
